name,regime,start,end,cagr,return,max_drawdown,daily_arithmetic_mean_excess_vs_spy
ABS12_ZERO_CASH_10bps,2023_2025,2023-01-03,2025-12-31,0.1940707853,0.6977256839,-0.1870595745,-0.03068963109
ABS12_ZERO_CASH_10bps,2026_YTD,2026-01-02,2026-07-31,0.181122551,0.1005208916,-0.08882821034,0
SMA10_ZERO_CASH_10bps,2016_2019,2016-01-04,2019-12-31,0.06654027874,0.2932634522,-0.2107292613,-0.07443745039
SMA10_ZERO_CASH_10bps,covid2020,2020-01-02,2020-12-31,0.1866154454,0.1874214172,-0.1267280089,-0.04018888361
SMA10_ZERO_CASH_10bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
SMA10_ZERO_CASH_10bps,inflation2022,2022-01-03,2022-12-30,-0.2220496425,-0.2212741071,-0.2376146838,-0.07194694001
SMA10_ZERO_CASH_10bps,2023_2025,2023-01-03,2025-12-31,0.1430381201,0.490254851,-0.1002736783,-0.07721030916
SMA10_ZERO_CASH_10bps,2026_YTD,2026-01-02,2026-07-31,-0.002406953554,-0.001385661955,-0.08882821034,-0.1701912645
SPY_ZERO_CASH_20bps,2016_2019,2016-01-04,2019-12-31,0.1467510528,0.7274465272,-0.1928663299,-0.0004999940477
SPY_ZERO_CASH_20bps,covid2020,2020-01-02,2020-12-31,0.1814134304,0.1821952575,-0.3368469246,0
SPY_ZERO_CASH_20bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
SPY_ZERO_CASH_20bps,inflation2022,2022-01-03,2022-12-30,-0.1820460037,-0.1813934928,-0.2447419456,0
SPY_ZERO_CASH_20bps,2023_2025,2023-01-03,2025-12-31,0.2296570958,0.8532197403,-0.1870595745,0
SPY_ZERO_CASH_20bps,2026_YTD,2026-01-02,2026-07-31,0.181122551,0.1005208916,-0.08882821034,0
DEFENSIVE_ZERO_CASH_20bps,2016_2019,2016-01-04,2019-12-31,0,0,0,-0.1456643431
DEFENSIVE_ZERO_CASH_20bps,covid2020,2020-01-02,2020-12-31,0,0,0,-0.2258456102
DEFENSIVE_ZERO_CASH_20bps,2021,2021-01-04,2021-12-31,0,0,0,-0.2595014857
DEFENSIVE_ZERO_CASH_20bps,inflation2022,2022-01-03,2022-12-30,0,0,0,0.1719405349
DEFENSIVE_ZERO_CASH_20bps,2023_2025,2023-01-03,2025-12-31,0,0,0,-0.2180434019
DEFENSIVE_ZERO_CASH_20bps,2026_YTD,2026-01-02,2026-07-31,0,0,0,-0.1759911751
STATIC80_ZERO_CASH_20bps,2016_2019,2016-01-04,2019-12-31,0.1170303961,0.5555303755,-0.1552524227,-0.02976744765
STATIC80_ZERO_CASH_20bps,covid2020,2020-01-02,2020-12-31,0.1514794276,0.1521241055,-0.2737417681,-0.04849285343
STATIC80_ZERO_CASH_20bps,2021,2021-01-04,2021-12-31,0.223505044,0.223505044,-0.0410131279,-0.05224425731
STATIC80_ZERO_CASH_20bps,inflation2022,2022-01-03,2022-12-30,-0.1457128982,-0.1451788427,-0.1990552741,0.03287454127
STATIC80_ZERO_CASH_20bps,2023_2025,2023-01-03,2025-12-31,0.1813005881,0.644116858,-0.1515783181,-0.04423977959
STATIC80_ZERO_CASH_20bps,2026_YTD,2026-01-02,2026-07-31,0.1445428742,0.08077851968,-0.07122922729,-0.0349160033
STATIC70_ZERO_CASH_20bps,2016_2019,2016-01-04,2019-12-31,0.1022268307,0.4748519614,-0.1362623867,-0.04434919221
STATIC70_ZERO_CASH_20bps,covid2020,2020-01-02,2020-12-31,0.1351046132,0.1356755739,-0.2414138106,-0.07184979486
STATIC70_ZERO_CASH_20bps,2021,2021-01-04,2021-12-31,0.1935747437,0.1935747437,-0.03593444832,-0.07830163551
STATIC70_ZERO_CASH_20bps,inflation2022,2022-01-03,2022-12-30,-0.1274872639,-0.1270149473,-0.1755934377,0.04961423394
STATIC70_ZERO_CASH_20bps,2023_2025,2023-01-03,2025-12-31,0.1575782271,0.5475415309,-0.1334843698,-0.06622825092
STATIC70_ZERO_CASH_20bps,2026_YTD,2026-01-02,2026-07-31,0.1263041321,0.07083488962,-0.06239861464,-0.05241203475
ABS12_ZERO_CASH_20bps,2016_2019,2016-01-04,2019-12-31,0.09290428698,0.4256808321,-0.1928663299,-0.04952267864
ABS12_ZERO_CASH_20bps,covid2020,2020-01-02,2020-12-31,0.0272660516,0.02737571792,-0.3368469246,-0.1460743858
ABS12_ZERO_CASH_20bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
ABS12_ZERO_CASH_20bps,inflation2022,2022-01-03,2022-12-30,-0.1361872296,-0.1356852524,-0.1818237519,0.03756483239
ABS12_ZERO_CASH_20bps,2023_2025,2023-01-03,2025-12-31,0.1936713107,0.6960313469,-0.1870595745,-0.0310237345
ABS12_ZERO_CASH_20bps,2026_YTD,2026-01-02,2026-07-31,0.181122551,0.1005208916,-0.08882821034,0
SMA10_ZERO_CASH_20bps,2016_2019,2016-01-04,2019-12-31,0.06413889495,0.2816781971,-0.212306229,-0.07669034675
SMA10_ZERO_CASH_20bps,covid2020,2020-01-02,2020-12-31,0.1842539423,0.1850489421,-0.1267280089,-0.04222371542
SMA10_ZERO_CASH_20bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
SMA10_ZERO_CASH_20bps,inflation2022,2022-01-03,2022-12-30,-0.2251675839,-0.2243827964,-0.2406581412,-0.07594708189
SMA10_ZERO_CASH_20bps,2023_2025,2023-01-03,2025-12-31,0.1407421874,0.4813400721,-0.1002736783,-0.07922140119
SMA10_ZERO_CASH_20bps,2026_YTD,2026-01-02,2026-07-31,-0.005868438155,-0.003380899385,-0.08882821034,-0.1736744065
